Key,Site,Emplacement,Position,Format,Annonceur
391854-10,180 Back,180Back_300x250_RG_ATF,Haut,300 x 600,Rubicon
391854-57,180 Back,180Back_728x90_RG_ATF,Haut,970 x 250,Rubicon
391854-2,180 Back,180Back_728x90_RG_ATF,Haut,728 x 90,Rubicon
391854-15,180 Back,180Back_300x250_RG_ATF,Haut,300 x 250,Rubicon
391890-15,180 Back,180Back_300x250_RG_BTF,Bas,300 x 250,Rubicon
391854-68,180 Back,180Back_Habillage_RG_ATF,Haut,1600 x 1000,Rubicon
392430-10,Actu Rugby,ActuRugby_300x250_RG_ATF,Haut,300 x 600,Rubicon
392430-57,Actu Rugby,ActuRugby_728x90_RG_ATF,Haut,970 x 250,Rubicon
392430-2,Actu Rugby,ActuRugby_728x90_RG_ATF,Haut,728 x 90,Rubicon
392430-15,Actu Rugby,ActuRugby_300x250_RG_ATF,Haut,300 x 250,Rubicon
392466-15,Actu Rugby,ActuRugby_300x250_RG_BTF,Bas,300 x 250,Rubicon
394190-15,Actu Rugby,ActuRugby_300x250_RG_ATF,Haut,300 x 250,Rubicon
394190-43,Actu Rugby,ActuRugby_320x50_MOB_ATF,Haut,320 x 50,Rubicon
394190-67,Actu Rugby,ActuRugby_1x1_MOB,Haut,320 x 480,Rubicon
392430-68,Actu Rugby,ActuRugby_1x1_RG_ATF,Haut,1600 x 1000,Rubicon
392902-57,Les Violets,AllezTFC_728x90_RG_ATF,Haut,970 x 250,Rubicon
392902-2,Les Violets,AllezTFC_728x90_RG_ATF,Haut,728 x 90,Rubicon
392926-2,Les Violets,AllezTFC_728x90_RG_BTF,Bas,728 x 90,Rubicon
392902-15,Les Violets,AllezTFC_300x250_RG_ATF,Haut,300 x 250,Rubicon
484786-15,Les Violets,AllezTFC_300x250_RG_ATF,Haut,300 x 250,Rubicon
484786-43,Les Violets,AllezTFC_320x50_ATF,Haut,320 x 50,Rubicon
486650-43,Les Violets,AllezTFC_320x50_ATF,Haut,320 x 50,Rubicon
484786-67,Les Violets,AllezTFC_1x1_ATF_mob,Haut,320 x 480,Rubicon
392902-68,Les Violets,AllezTFC_Habillage_RG_ATF,Haut,1600 x 1000,Rubicon
523402-10,Allez Marseille,AllezMarseille_300x250_ATF_RG,Haut,300 x 600,Rubicon
523402-57,Allez Marseille,AllezMarseille_728x90_ATF_RG,Haut,970 x 250,Rubicon
523404-2,Allez Marseille,AllezMarseille_728x90_BTF_RG,Bas,728 x 90,Rubicon
523404-15,Allez Marseille,AllezMarseille_300x250_BTF_RG,Bas,300 x 250,Rubicon
523406-15,Allez Marseille,AllezMarseille_300x250_ATF_RG,Haut,300 x 250,Rubicon
523406-43,Allez Marseille,AllezMarseille_320x50_ATF_MOB,Haut,320 x 50,Rubicon
393178-10,Allo Surf,AlloSurf_300x250_RG_ATF,Haut,300 x 600,Rubicon
393178-57,Allo Surf,AlloSurf_728x90_RG_ATF,Haut,970 x 250,Rubicon
393178-2,Allo Surf,AlloSurf_728x90_RG_ATF,Haut,728 x 90,Rubicon
393178-15,Allo Surf,AlloSurf_300x250_RG_ATF,Haut,300 x 250,Rubicon
394398-43,Allo Surf,AlloSurf_320x50_MOB,Haut,320 x 50,Rubicon
394398-67,Allo Surf,AlloSurf_1x1_MOB,Haut,320 x 480,Rubicon
393322-10,Cahiers du Football,CahierDuFootball_300x250_RG_ATF,Haut,300 x 600,Rubicon
393322-57,Cahiers du Football,CahierDuFootball_728x90_RG_ATF,Haut,970 x 250,Rubicon
393322-2,Cahiers du Football,CahierDuFootball_728x90_RG_ATF,Haut,728 x 90,Rubicon
393322-15,Cahiers du Football,CahierDuFootball_300x250_RG_ATF,Haut,300 x 250,Rubicon
393342-15,Cahiers du Football,CahierDuFootball_300x250_RG_BTF,Bas,300 x 250,Rubicon
454952-68,Cahiers du Football,CahierDuFootball_Habillage_RG_ATF,Haut,1600 x 1000,Rubicon
471996-10,DZFoot,DZFoot_300x250_RG_ATF,Haut,300 x 600,Rubicon
471998-10,DZFoot,DZFoot_300x250_RG_BTF,Bas,300 x 600,Rubicon
471996-2,DZFoot,DZFoot_728x90_RG_ATF,Haut,728 x 90,Rubicon
471998-2,DZFoot,DZFoot_728x90_RG_BTF,Bas,728 x 90,Rubicon
471996-58,DZFoot,DZFoot_728x90_RG_ATF,Haut,1000 x 90 ,Rubicon
471996-15,DZFoot,DZFoot_300x250_RG_ATF,Haut,300 x 250,Rubicon
471998-15,DZFoot,DZFoot_300x250_RG_BTF,Bas,300 x 250,Rubicon
472004-15,DZFOOT,DZFoot_300x250_RG_ATF,Haut,300 x 250,Rubicon
472004-43,DZFOOT,DZFoot_320x50_RG_MOB,Haut,320 x 50,Rubicon
472004-67,DZFOOT,DZFoot_1x1_inter_RG_MOB,Haut,320 x 480,Rubicon
471996-68,DZFoot,DZFoot_1x1_habillage_RG_ATF,Haut,1600 x 1000,Rubicon
460206-10,Football Club de Marseille,FCMarseille_300x250_RG_ATF,Haut,300 x 600,Rubicon
460206-57,Football Club de Marseille,FCMarseille_728x90_RG_ATF,Haut,970 x 250,Rubicon
460206-2,Football Club de Marseille,FCMarseille_728x90_RG_ATF,Haut,728 x 90,Rubicon
473098-15,Football Club de Marseille,FCMarseille_300x250_article_ATF,Haut,300 x 250,Rubicon
460206-15,Football Club de Marseille,FCMarseille_300x250_RG_ATF,Haut,300 x 250,Rubicon
460208-15,Football Club de Marseille,FCMarseille_300x250_HP_BTF,Bas,300 x 250,Rubicon
460250-15,Football Club de Marseille,FCMarseille_300x250_RG_ATF,Haut,300 x 250,Rubicon
460250-43,Football Club de Marseille,FCMarseille_320x50_MOB,Haut,320 x 50,Rubicon
393782-10,Footito,Footito_300x250_RG_ATF,Haut,300 x 600,Rubicon
393782-57,Footito,Footito_728x90_RG_ATF,Haut,970 x 250,Rubicon
393782-2,Footito,Footito_728x90_RG_ATF,Haut,728 x 90,Rubicon
393782-15,Footito,Footito_300x250_RG_ATF,Haut,300 x 250,Rubicon
393782-9,Footito,Footito_160x600_RG_ATF,Haut,160x600 ,Rubicon
452900-10,Footpack,Footpack_300x250_ATF_RG,Haut,300 x 600,Rubicon
452900-57,Footpack,Footpack_728x90_ATF_RG,Haut,970 x 250,Rubicon
452900-2,Footpack,Footpack_728x90_ATF_RG,Haut,728 x 90,Rubicon
452900-15,Footpack,Footpack_300x250_ATF_RG,Haut,300 x 250,Rubicon
460246-43,Footpack,Footpack_320x50_MOB_RG,Haut,320 x 50,Rubicon
452900-68,Footpack,Footpack_1x1_ATF_RG,Haut,1600 x 1000,Rubicon
394008-10,Handnews,Handnews_300x250_RG_ATF,Haut,300 x 600,Rubicon
394008-57,Handnews,Handnews_728x90_RG_ATF,Haut,970 x 250,Rubicon
394008-2,Handnews,Handnews_728x90_RG_ATF,Haut,728 x 90,Rubicon
394024-2,Handnews,Handnews_728x90_RG_BTF,Bas,728 x 90,Rubicon
394008-15,Handnews,Handnews_300x250_RG_ATF,Haut,300 x 250,Rubicon
394024-15,Handnews,Handnews_300x250_RG_BTF,Bas,300 x 250,Rubicon
394400-15,Handnews,Handnews_300x250_RG_ATF,Haut,300 x 250,Rubicon
394400-43,Handnews,Mobile-Handnews-320x50,Haut,320 x 50,Rubicon
394400-67,Handnews,Mobile-Handnews_1x1,Haut,320 x 480,Rubicon
394166-88,Hockey Hebdo,HockeyHebdo_300x250_RG_BTF,Bas,300 x 600,Rubicon
394154-10,Hockey Hebdo,HockeyHebdo_300x250_RG_ATF,Haut,300 x 600,Rubicon
413522-10,Hockey Hebdo,HockeyHebdo_300x250_RG_2_BTF,STF,300 x 600,Rubicon
394154-57,Hockey Hebdo,HockeyHebdo_728x90_RG_ATF,Haut,970 x 250,Rubicon
394154-2,Hockey Hebdo,HockeyHebdo_728x90_RG_ATF,Haut,728 x 90,Rubicon
394166-2,Hockey Hebdo,HockeyHebdo_728x90_RG_BTF,Bas,728 x 90,Rubicon
394154-15,Hockey Hebdo,HockeyHebdo_300x250_RG_ATF,Haut,300 x 250,Rubicon
394166-15,Hockey Hebdo,HockeyHebdo_300x250_RG_BTF,Bas,300 x 250,Rubicon
413522-15,Hockey Hebdo,HockeyHebdo_300x250_RG_2_BTF,STF,300 x 250,Rubicon
395228-10,Le Rugbynistere,Rugbynistere_300x250_RG_ATF,Haut,300 x 600,Rubicon
395228-57,Le Rugbynistere,Rugbynistere_728x90_RG_ATF,Haut,970 x 250,Rubicon
395228-2,Le Rugbynistere,Rugbynistere_728x90_RG_ATF,Haut,728 x 90,Rubicon
444938-2,Le Rugbynistere,Rugbynistere_728x90_RG_ATF,Haut,728 x 90,Rubicon
395230-2,Le Rugbynistere,Rugbynistere_728x90_RG_BTF,Bas,728 x 90,Rubicon
395228-15,Le Rugbynistere,Rugbynistere_300x250_RG_ATF,Haut,300 x 250,Rubicon
444938-15,Le Rugbynistere,Rugbynistere_300x250_RG_ATF,Haut,300 x 250,Rubicon
395230-15,Le Rugbynistere,Rugbynistere_300x250_RG_BTF,Bas,300 x 250,Rubicon
394466-15,Le Rugbynistere,Rugbynistere_300x250_MOB,Haut,300 x 250,Rubicon
394466-43,Le Rugbynistere,Rugbynistere_320x50_MOB_ATF,Haut,320 x 50,Rubicon
394466-67,Le Rugbynistere,Responsive-Rugbynistere-320x480,Haut,320 x 480,Rubicon
529906-10,Le Sport Dauphinois,LeSportDauphinois_300x250_ATF_RG,Haut,300 x 600,Rubicon
529908-10,Le Sport Dauphinois,LeSportDauphinois_300x250_BTF_RG,Bas,300 x 600,Rubicon
529906-2,Le Sport Dauphinois,LeSportDauphinois_728x90_ATF_RG,Haut,728 x 90,Rubicon
529908-2,Le Sport Dauphinois,LeSportDauphinois_728x90_BTF_RG,Bas,728 x 90,Rubicon
529906-15,Le Sport Dauphinois,LeSportDauphinois_300x250_ATF_RG,Haut,300 x 250,Rubicon
529908-15,Le Sport Dauphinois,LeSportDauphinois_300x250_BTF_RG,Bas,300 x 250,Rubicon
529910-43,Le Sport Dauphinois,LeSportDauphinois_320x50_MOB_ATF,Haut,320 x 50,Rubicon
395240-10,Mango Surf,MangoSurf_300x250_RG_ATF,Haut,300 x 600,Rubicon
395240-57,Mango Surf,MangoSurf_728x90_RG_ATF,Haut,970 x 250,Rubicon
395240-2,Mango Surf,MangoSurf_728x90_RG_ATF,Haut,728 x 90,Rubicon
395240-15,Mango Surf,MangoSurf_300x250_RG_ATF,Haut,300 x 250,Rubicon
395364-43,Mango Surf,MangoSurf_320x50_MOB_ATF,Haut,320 x 50,Rubicon
490610-10,Mercato Football Club,MercatoFC_300x250_RG_ATF,Haut,300 x 600,Rubicon
490610-2,Mercato Football Club,MercatoFC_728x90_RG_ATF,Haut,728 x 90,Rubicon
490610-15,Mercato Football Club,MercatoFC_300x250_RG_ATF,Haut,300 x 250,Rubicon
490612-15,Mercato Football Club,MercatoFC_300x250_RG_BTF,Bas,300 x 250,Rubicon
523436-10,Nantes Direct,NantesDirect_300x250_ATF_RG,Haut,300 x 600,Rubicon
523436-57,Nantes Direct,NantesDirect_728x90_ATF_RG,Haut,970 x 250,Rubicon
523436-2,Nantes Direct,NantesDirect_728x90_ATF_RG,Haut,728 x 90,Rubicon
523438-2,Nantes Direct,NantesDirect_728x90_BTF_RG,Bas,728 x 90,Rubicon
523436-15,Nantes Direct,NantesDirect_300x250_ATF_RG,Haut,300 x 250,Rubicon
523452-15,Nantes Direct,NantesDirect_300x250_ATF_MOB,Haut,300 x 250,Rubicon
523452-43,Nantes Direct,NantesDirect_320x50_ATF_MOB,Haut,320 x 50,Rubicon
392880-10,Parce Que Toulon,ParceQueToulon_300x250_RG_ATF,Haut,300 x 600,Rubicon
392892-10,Parce Que Toulon,ParceQueToulon_300x250_RG_BTF,Bas,300 x 600,Rubicon
392880-15,Parce Que Toulon,ParceQueToulon_300x250_RG_ATF,Haut,300 x 250,Rubicon
392892-15,Parce Que Toulon,ParceQueToulon_300x250_RG_BTF,Bas,300 x 250,Rubicon
477700-10,Rugby Amateur,RugbyAmateur_300x250_RG_ATF,Haut,300 x 600,Rubicon
477702-10,Rugby Amateur,RugbyAmateur_300x250_RG_BTF,Bas,300 x 600,Rubicon
477700-57,Rugby Amateur,RugbyAmateur_728x90_RG_ATF,Haut,970 x 250,Rubicon
477700-2,Rugby Amateur,RugbyAmateur_728x90_RG_ATF,Haut,728 x 90,Rubicon
477702-2,Rugby Amateur,RugbyAmateur_728x90_RG_BTF,Bas,728 x 90,Rubicon
497122-2,Rugby Amateur,RugbyAmateur_728x90_RG_ATF,Haut,728 x 90,Rubicon
477700-15,Rugby Amateur,RugbyAmateur_300x250_RG_ATF,Haut,300 x 250,Rubicon
477702-15,Rugby Amateur,RugbyAmateur_300x250_RG_BTF,Bas,300 x 250,Rubicon
497124-15,Rugby Amateur,RugbyAmateur_320x50_RG_BTF-article,Bas,300 x 250,Rubicon
477712-15,Rugby Amateur,RugbyAmateur_300x250_RG_ATF,Haut,300 x 250,Rubicon
477712-43,Rugby Amateur,RugbyAmateur_320x50_MOB-ATF,Haut,320 x 50,Rubicon
393188-10,Rugby Transferts,RugbyTransferts_300x250_RG_ATF,Haut,300 x 600,Rubicon
393210-10,Rugby Transferts,RugbyTransferts_300x250_RG_BTF,Bas,300 x 600,Rubicon
393188-2,Rugby Transferts,RugbyTransferts_728x90_RG_ATF,Haut,728 x 90,Rubicon
393210-2,Rugby Transferts,RugbyTransferts_728x90_RG_BTF,Bas,728 x 90,Rubicon
393188-15,Rugby Transferts,RugbyTransferts_300x250_RG_ATF,Haut,300 x 250,Rubicon
393210-15,Rugby Transferts,RugbyTransferts_300x250_RG_BTF,Bas,300 x 250,Rubicon
393188-68,Rugby Transferts,RugbyTransferts_Habillage_RG_ATF,Haut,1600 x 1000,Rubicon
393368-10,Rugbyto,Rugbyto_300x250_RG_ATF,Haut,300 x 600,Rubicon
393368-57,Rugbyto,Rugbyto_728x90_RG_ATF,Haut,970 x 250,Rubicon
393368-2,Rugbyto,Rugbyto_728x90_RG_ATF,Haut,728 x 90,Rubicon
393368-15,Rugbyto,Rugbyto_300x250_RG_ATF,Haut,300 x 250,Rubicon
393466-2,Surf Prevention,SurfPrevention_728x90_RG_ATF,Haut,728 x 90,Rubicon
393466-15,Surf Prevention,SurfPrevention_300x250_RG_ATF,Haut,300 x 250,Rubicon
456346-2,Track And Life,TrackAndLife_728x90_ATF_RG,Haut,728 x 90,Rubicon
